,sofifa_id,short_name,age,height_cm,weight_kg,club_name,overall,potential,value_eur,wage_eur,international_reputation,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,nationality_Afghanistan,nationality_Algeria,nationality_Antigua & Barbuda,nationality_Argentina,nationality_Armenia,nationality_Australia,nationality_Austria,nationality_Belgium,nationality_Benin,nationality_Bermuda,nationality_Bosnia Herzegovina,nationality_Brazil,nationality_Brunei Darussalam,nationality_Burkina Faso,nationality_Cameroon,nationality_Canada,nationality_Chile,nationality_Colombia,nationality_Costa Rica,nationality_Croatia,nationality_Curacao,nationality_Cyprus,nationality_Czech Republic,nationality_DR Congo,nationality_Denmark,nationality_Ecuador,nationality_Egypt,nationality_England,nationality_Equatorial Guinea,nationality_Estonia,nationality_Finland,nationality_France,nationality_Gabon,nationality_Gambia,nationality_Germany,nationality_Ghana,nationality_Greece,nationality_Guinea,nationality_Guinea Bissau,nationality_Honduras,nationality_Hungary,nationality_Iceland,nationality_Iran,nationality_Israel,nationality_Italy,nationality_Ivory Coast,nationality_Jamaica,nationality_Japan,nationality_Kenya,nationality_Korea Republic,nationality_Kosovo,nationality_Libya,nationality_Lithuania,nationality_Mali,nationality_Mexico,nationality_Montenegro,nationality_Morocco,nationality_Netherlands,nationality_New Zealand,nationality_Nigeria,nationality_North Macedonia,nationality_Northern Ireland,nationality_Norway,nationality_Paraguay,nationality_Peru,nationality_Philippines,nationality_Poland,nationality_Portugal,nationality_Republic of Ireland,nationality_Romania,nationality_Saint Kitts and Nevis,nationality_Scotland,nationality_Senegal,nationality_Serbia,nationality_Sierra Leone,nationality_Slovakia,nationality_Slovenia,nationality_South Africa,nationality_Spain,nationality_Sweden,nationality_Switzerland,nationality_Tanzania,nationality_Togo,nationality_Tunisia,nationality_Turkey,nationality_Ukraine,nationality_United States,nationality_Uruguay,nationality_Venezuela,nationality_Wales,nationality_Zambia,nationality_Zimbabwe,player_positions_CAM,player_positions_CB,player_positions_CDM,player_positions_CF,player_positions_CM,player_positions_GK,player_positions_LB,player_positions_LM,player_positions_LW,player_positions_LWB,player_positions_RB,player_positions_RM,player_positions_RW,player_positions_RWB,player_positions_ST,preferred_foot_Left,preferred_foot_Right,player_traits_Avoids Using Weaker Foot,player_traits_Backs Into Player,player_traits_Beat Offside Trap,player_traits_Cautious With Crosses,player_traits_Chip Shot (AI),player_traits_Comes For Crosses,player_traits_Diver,player_traits_Dives Into Tackles (AI),player_traits_Early Crosser,player_traits_Finesse Shot,player_traits_Flair,player_traits_GK Long Throw,player_traits_GK Up for Corners,player_traits_Giant Throw-in,player_traits_Injury Free,player_traits_Injury Prone,player_traits_Leadership,player_traits_Long Passer (AI),player_traits_Long Shot Taker (AI),player_traits_Long Throw-in,player_traits_One Club Player,player_traits_Outside Foot Shot,player_traits_Playmaker (AI),player_traits_Power Free-Kick,player_traits_Power Header,player_traits_Puncher,player_traits_Rushes Out Of Goal,player_traits_Saves with Feet,player_traits_Selfish,player_traits_Set Play Specialist,player_traits_Solid Player,player_traits_Speed Dribbler (AI),player_traits_Takes Finesse Free Kicks,player_traits_Target Forward,player_traits_Team Player,player_traits_Technical Dribbler (AI),player_traits_Through Ball,player_tags_#Acrobat,player_tags_#Aerial Threat,player_tags_#Clinical Finisher,player_tags_#Complete Defender,player_tags_#Complete Forward,player_tags_#Complete Midfielder,player_tags_#Crosser,player_tags_#Distance Shooter,player_tags_#Dribbler,player_tags_#Engine,player_tags_#FK Specialist,player_tags_#Playmaker,player_tags_#Poacher,player_tags_#Speedster,player_tags_#Strength,player_tags_#Tackling,player_tags_#Tactician,best_position,position_category
3,193080,De Gea,27,193,76,Manchester United,91,93,72000000,250000,4,3,1,,,,,,,90.0,85.0,87.0,94.0,58.0,88.0,17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,40,21,13,90,85,87,88,94,33,33,33,37,38,38,38,37,43,43,43,40,45,45,45,40,36,41,41,41,36,35,34,34,34,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gk,gk
4,192985,K. De Bruyne,27,181,70,Manchester City,91,92,102000000,350000,4,5,4,77.0,86.0,92.0,87.0,60.0,78.0,,,,,,,93,83,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,60,87,94,79,58,51,15,13,5,10,13,83,83,83,87,87,87,87,87,89,89,89,88,88,88,88,88,77,77,77,77,77,73,67,67,67,73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,lam,mid
8,183277,E. Hazard,27,173,74,Chelsea,91,91,93000000,325000,4,4,4,91.0,82.0,86.0,94.0,35.0,67.0,,,,,,,81,84,61,89,80,95,83,79,83,94,93,89,95,90,94,80,56,83,66,80,54,41,87,89,86,27,22,11,12,6,8,8,84,84,84,89,89,89,89,89,90,90,90,89,83,83,83,89,66,63,63,63,66,61,50,50,50,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,lam,mid
18,202126,H. Kane,24,188,89,Tottenham Hotspur,89,92,86000000,200000,3,4,3,70.0,90.0,79.0,80.0,47.0,83.0,,,,,,,75,94,85,80,82,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,36,38,8,10,11,14,11,86,86,86,82,85,85,85,82,83,83,83,82,79,79,79,82,65,66,66,66,65,62,60,60,60,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ls,att
20,215914,N. Kanté,27,168,68,Chelsea,89,90,63000000,225000,3,3,2,80.0,66.0,77.0,81.0,87.0,84.0,,,,,,,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,91,85,15,12,10,7,10,73,73,73,77,77,77,77,77,79,79,79,79,83,83,83,79,85,87,87,87,85,85,84,84,84,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,ldm,mid
22,153079,S. Agüero,30,173,70,Manchester City,89,89,64500000,300000,4,4,4,84.0,89.0,76.0,89.0,28.0,73.0,,,,,,,70,93,74,81,85,89,82,72,63,89,88,80,86,89,91,88,81,76,73,82,65,24,92,83,83,20,12,13,15,6,11,14,87,87,87,86,88,88,88,86,86,86,86,84,76,76,76,84,58,56,56,56,58,54,47,47,47,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,lf,att
23,168542,David Silva,32,173,67,Manchester City,89,89,51500000,275000,4,2,4,66.0,74.0,87.0,90.0,50.0,60.0,,,,,,,83,73,54,92,80,89,82,76,81,93,69,64,92,87,90,71,64,78,52,73,56,48,88,92,75,50,29,6,15,7,6,12,77,77,77,84,84,84,84,84,87,87,87,84,84,84,84,84,68,69,69,69,68,64,56,56,56,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,lam,mid
26,190460,C. Eriksen,26,181,76,Tottenham Hotspur,88,91,73500000,200000,3,5,4,74.0,82.0,89.0,86.0,53.0,64.0,,,,,,,88,80,52,91,76,84,86,87,87,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,57,22,9,14,7,7,6,79,79,79,85,85,85,85,85,87,87,87,86,86,86,86,86,72,72,72,72,72,67,57,57,57,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,lam,mid
27,195864,P. Pogba,25,191,84,Manchester United,88,91,73000000,250000,4,4,5,75.0,79.0,86.0,85.0,69.0,87.0,,,,,,,80,73,73,87,85,87,84,82,90,90,71,78,74,81,64,90,85,90,89,81,78,68,82,87,81,70,68,5,6,2,4,3,81,81,81,82,83,83,83,82,84,84,84,84,85,85,85,84,78,80,80,80,78,76,75,75,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,lcm,mid
31,209331,M. Salah,26,175,71,Liverpool,88,89,69500000,250000,3,3,4,92.0,84.0,79.0,89.0,45.0,72.0,,,,,,,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,43,41,14,14,9,11,14,84,84,84,87,87,87,87,87,86,86,86,86,80,80,80,86,70,66,66,66,70,66,57,57,57,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,lw,att
